Variant-ID	Gene-name	Family-ID	Lineage-ID	Class	Blacklisted
C2|BLMT|misc-181_1|EMV|CARD|BAF34030.1	BLMT	C2|BLMT|misc-181_1|EMV|CARD|BAF34030.1	C2|BLMT|misc-181_1|EMV|CARD|BAF34030.1	dfr	
C2|aac(2')-IIa|aac2p-2_1|EMV|ResFinder|AB669090.1	aac(2')-IIa	C2|aac(2')-IIa|aac2p-2_1|EMV|ResFinder|AB669090.1	C2|aac(2')-IIa|aac2p-2_1|EMV|ResFinder|AB669090.1	dfr	
C2|aac(2')-IIb|aac2p-1_1|ECV|CARD|APB03221.1	aac(2')-IIb	C2|aac(2')-IIb|aac2p-1_1|ECV|CARD|APB03221.1	C2|aac(2')-IIb|aac2p-1_1|ECV|CARD|APB03221.1	dfr	
C2|aac(2')-Ia|aac2p-3_1|ECV|ResFinder|L06156.1	aac(2')-Ia	C2|aac(2')-Ia|aac2p-3_1|ECV|ResFinder|L06156.1	C2|aac(2')-Ia|aac2p-3_1|ECV|ResFinder|L06156.1	dfr	
C2|aac(2')-Ib|aac2p-4_2|ECV|ResFinder|U41471.1	aac(2')-Ib	C2|aac(2')-Ib|aac2p-4_2|ECV|ResFinder|U41471.1	C2|aac(2')-Ib|aac2p-4_1|ECV|CARD|AAC44793.1	dfr	
C2|aac(2')-Ib|aac2p-4_1|ECV|CARD|AAC44793.1	aac(2')-Ib	C2|aac(2')-Ib|aac2p-4_2|ECV|ResFinder|U41471.1	C2|aac(2')-Ib|aac2p-4_1|ECV|CARD|AAC44793.1	dfr	
C2|aac(2')-Ic|aac2p-5_2|ECV|ResFinder|U72714.1	aac(2')-Ic	C2|aac(2')-Ic|aac2p-5_2|ECV|ResFinder|U72714.1	C2|aac(2')-Ie|aac2p-7_1|ECV|ResFinder|NC011896.1	dfr	
C2|aac(2')-Ic|aac2p-5_1|ECV|CARD|CCP42991.1	aac(2')-Ic	C2|aac(2')-Ic|aac2p-5_2|ECV|ResFinder|U72714.1	C2|aac(2')-Ie|aac2p-7_1|ECV|ResFinder|NC011896.1	dfr	
C2|aac(2')-Id|aac2p-6_1|ECV|CARD|AAB41701.1	aac(2')-Id	C2|aac(2')-Id|aac2p-6_2|ECV|ResFinder|U72743.1	C2|aac(2')-Id|aac2p-6_2|ECV|ResFinder|U72743.1	dfr	
C2|aac(2')-Id|aac2p-6_2|ECV|ResFinder|U72743.1	aac(2')-Id	C2|aac(2')-Id|aac2p-6_2|ECV|ResFinder|U72743.1	C2|aac(2')-Id|aac2p-6_2|ECV|ResFinder|U72743.1	dfr	
C2|aac(2')-Ie|aac2p-7_1|ECV|ResFinder|NC011896.1	aac(2')-Ie	C2|aac(2')-Ie|aac2p-7_1|ECV|ResFinder|NC011896.1	C2|aac(2')-Ie|aac2p-7_1|ECV|ResFinder|NC011896.1	dfr	
C2|aac(3)-IIIa|aac3-3_1|ECV|ResFinder|X55652.1	aac(3)-IIIa	C2|aac(3)-IIIa|aac3-3_1|ECV|ResFinder|X55652.1	C2|aac(3)-IIIa|aac3-3_1|ECV|ResFinder|X55652.1	dfr	
C2|aac(3)-IIIb|aac3-4_2|ECV|ResFinder|L06160.1	aac(3)-IIIb	C2|aac(3)-IIIb|aac3-4_1|ECV|ResFinder|LLLC01000048.1	C2|aac(3)-IIIc|aac3-5_1|ECV|ResFinder|L06161.1	dfr	
C2|aac(3)-IIIb|aac3-4_1|ECV|ResFinder|LLLC01000048.1	aac(3)-IIIb	C2|aac(3)-IIIb|aac3-4_1|ECV|ResFinder|LLLC01000048.1	C2|aac(3)-IIIc|aac3-5_1|ECV|ResFinder|L06161.1	dfr	
C2|aac(3)-IIIc|aac3-5_1|ECV|ResFinder|L06161.1	aac(3)-IIIc	C2|aac(3)-IIIc|aac3-5_1|ECV|ResFinder|L06161.1	C2|aac(3)-IIIc|aac3-5_1|ECV|ResFinder|L06161.1	dfr	
C2|aac(3)-IIb|aac3-7_1|ECV|ResFinder|M97172.1	aac(3)-IIb	C2|aac(3)-IIb|aac3-7_1|ECV|ResFinder|M97172.1	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	dfr	
C2|aac(3)-IIg|aac3-2_1|EMV|CARD|QKT21444.1	aac(3)-IIg	C2|aac(3)-IIg|aac3-2_1|EMV|CARD|QKT21444.1	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	dfr	
C2|aac(3)-II|aac3-6_16|LMP|Victor_2025|HoAAMG_C_sequ1ence	aac(3)-II	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	dfr	
